X longitude,Y Latitude,ID,Nama Objek,Alamat,Kontak,Type,Desa,Kecamatan,Kabupaten,Prov,Master_category
-7.81587557332,110.35943819200,3471010002,Klinik Dokter Yos Benito,"JL Pugeran Timur, No. 16, Kumendaman Mj II/ 374, Yogyakarta, DI Yogyakarta, 55141",0274 913 8011,Clinic,Suryodiningratan,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.82137800891,110.35500526400,3471010001,CV. Binasyifa,"JL. Bantul, No. 391, Bantul, DI Yogyakarta",0274 787 4687,Pharmacy,Gedongkiwo,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81528000000,110.35565888700,3471010002,Rumah Bersalin Harapan Bunda,"JL. Bantul, No. 15 A, Bantul",274 372 815,Hospital,Suryodiningratan,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81744000000,110.35809806200,3471010002,Terapi Cell,"JL. Suryodinigratan, Mantrijeron, Yogyakarta",", 0818 0430 3919",Clinic,Suryodiningratan,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81337459539,110.35880156000,3471010002,Adinda Salon,"JL. Letnan Jenderal MT Haryono, No. 9, Yogyakarta, DI Yogyakarta",0274 327 999,Salon & Spa,Suryodiningratan,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81840559259,110.35320144200,3471010001,Salindri Griya Busana,"JL Prapanca, Kp. Suryowijayan MJ I 449 RT 028/06, Yogyakarta, DI Yogyakarta, 55142",0274 372 222,Salon & Spa,Gedongkiwo,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.80817000000,110.35283000000,3471010001,Salon Anung,"JL S Parman, No. 46, Patangpuluhan, Wirobrajan, Yogyakarta, DI Yogyakarta",0815 688 6628,Salon & Spa,Gedongkiwo,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81914962912,110.35588365100,3471010002,Rio Rita Salon,"JL Bantul, No. 46A RT 53 RW 11, Gedong Kiwo, Mantrijeron, Yogyakarta, DI Yogyakarta, 55142",0274 372 389,Salon & Spa,Suryodiningratan,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81778710000,110.35884940000,3471010002,Wiwit Modelling Dan Salon,"JL Suryodiningratan, No. 49, Yogyakarta, DI Yogyakarta",0274 371 891,Salon & Spa,Suryodiningratan,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81852900000,110.35615666100,3471010002,Apotek K - 24,"JL. Bantul Km 6, Nyemengan, Tirtonirmolo, Kasihan, Bantul, DI Yogyakarta",0274 6463 679,Pharmacy,Suryodiningratan,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.80828300000,110.35469400000,3471010001,Salon &amp; Spa Salon Wini Salon,"JL. Letnan Jenderal S Parman, 85, Wirobrajan, DI Yogyakarta",0274 376 549,Salon & Spa,Gedongkiwo,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81925518749,110.36197833700,3471010003,Apotik Pelangi,"JL. Di Panjaitan, No. 83, Yogyakarta, DI Yogyakarta",0274 419 635,Pharmacy,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
